CustomerID,Lookalikes
C0096,"[('C0114', 0.9987), ('C0148', 0.9979), ('C0105', 0.9924)]"
C0097,"[('C0060', 0.9995), ('C0014', 0.9993), ('C0151', 0.9953)]"
C0098,"[('C0049', 0.9959), ('C0108', 0.9888), ('C0093', 0.9866)]"
C0099,"[('C0145', 0.9976), ('C0013', 0.9973), ('C0093', 0.9964)]"
C0100,"[('C0170', 0.9963), ('C0037', 0.996), ('C0179', 0.9955)]"
C0101,"[('C0046', 0.9998), ('C0155', 0.9981), ('C0041', 0.9981)]"
C0102,"[('C0045', 0.9992), ('C0188', 0.9984), ('C0068', 0.9978)]"
C0103,"[('C0088', 0.9961), ('C0016', 0.991), ('C0002', 0.9904)]"
C0104,"[('C0059', 0.9996), ('C0065', 0.9933), ('C0113', 0.993)]"
C0105,"[('C0039', 0.998), ('C0051', 0.9965), ('C0181', 0.9948)]"
C0106,"[('C0030', 0.9995), ('C0056', 0.9995), ('C0107', 0.9982)]"
C0107,"[('C0183', 0.9999), ('C0056', 0.9994), ('C0016', 0.9984)]"
C0108,"[('C0022', 0.9975), ('C0093', 0.997), ('C0013', 0.9969)]"
C0109,"[('C0093', 0.9779), ('C0099', 0.9777), ('C0145', 0.9739)]"
C0110,"[('C0080', 0.9995), ('C0151', 0.9977), ('C0014', 0.9962)]"
C0111,"[('C0134', 0.9985), ('C0030', 0.9959), ('C0034', 0.9941)]"
C0112,"[('C0197', 0.9996), ('C0005', 0.9995), ('C0186', 0.9994)]"
C0113,"[('C0124', 0.9979), ('C0136', 0.9976), ('C0012', 0.9957)]"
C0114,"[('C0148', 0.9998), ('C0096', 0.9987), ('C0105', 0.993)]"
C0115,"[('C0050', 1.0), ('C0007', 0.9989), ('C0066', 0.9982)]"
C0116,"[('C0019', 0.999), ('C0118', 0.9983), ('C0047', 0.9965)]"
C0117,"[('C0006', 0.9999), ('C0070', 0.9975), ('C0168', 0.9971)]"
C0118,"[('C0116', 0.9983), ('C0137', 0.9959), ('C0191', 0.9956)]"
C0119,"[('C0157', 0.9923), ('C0192', 0.9905), ('C0199', 0.9889)]"
C0120,"[('C0007', 0.9995), ('C0197', 0.9989), ('C0112', 0.9987)]"
C0121,"[('C0094', 0.9995), ('C0071', 0.9938), ('C0043', 0.9933)]"
C0122,"[('C0155', 0.9998), ('C0046', 0.9987), ('C0090', 0.9981)]"
C0123,"[('C0015', 0.9997), ('C0063', 0.9995), ('C0043', 0.9922)]"
C0124,"[('C0113', 0.9979), ('C0195', 0.9972), ('C0136', 0.9958)]"
C0125,"[('C0135', 0.9999), ('C0193', 0.9996), ('C0177', 0.9989)]"
C0126,"[('C0023', 0.999), ('C0057', 0.9975), ('C0081', 0.9969)]"
C0127,"[('C0184', 0.9999), ('C0154', 0.9994), ('C0069', 0.9963)]"
C0128,"[('C0080', 0.9937), ('C0110', 0.9933), ('C0014', 0.9925)]"
C0129,"[('C0092', 0.9981), ('C0176', 0.9964), ('C0042', 0.996)]"
C0130,"[('C0020', 0.999), ('C0095', 0.9875), ('C0140', 0.9827)]"
C0131,"[('C0036', 0.9995), ('C0167', 0.9991), ('C0071', 0.9988)]"
C0132,"[('C0063', 0.9949), ('C0036', 0.9946), ('C0131', 0.994)]"
C0133,"[('C0002', 0.9962), ('C0056', 0.9958), ('C0029', 0.9956)]"
C0134,"[('C0111', 0.9985), ('C0030', 0.9972), ('C0106', 0.9969)]"
C0135,"[('C0125', 0.9999), ('C0193', 0.9996), ('C0070', 0.9985)]"
C0136,"[('C0113', 0.9976), ('C0012', 0.9968), ('C0195', 0.9963)]"
C0137,"[('C0191', 0.9997), ('C0174', 0.999), ('C0011', 0.9984)]"
C0138,"[('C0163', 0.9964), ('C0182', 0.9953), ('C0170', 0.9937)]"
C0139,"[('C0161', 0.999), ('C0024', 0.997), ('C0194', 0.9968)]"
C0140,"[('C0095', 0.9985), ('C0005', 0.9927), ('C0186', 0.9926)]"
C0141,"[('C0099', 0.9851), ('C0013', 0.9728), ('C0145', 0.9726)]"
C0142,"[('C0027', 0.9993), ('C0177', 0.9981), ('C0193', 0.998)]"
C0143,"[('C0053', 0.9975), ('C0145', 0.9967), ('C0013', 0.9947)]"
C0144,"[('C0062', 0.9995), ('C0077', 0.993), ('C0129', 0.9905)]"
C0145,"[('C0013', 0.999), ('C0099', 0.9976), ('C0053', 0.9974)]"
C0146,"[('C0192', 0.9991), ('C0035', 0.9984), ('C0199', 0.9983)]"
C0147,"[('C0161', 0.9978), ('C0139', 0.9962), ('C0047', 0.9915)]"
C0148,"[('C0114', 0.9998), ('C0096', 0.9979), ('C0105', 0.9942)]"
C0149,"[('C0200', 0.9995), ('C0022', 0.9969), ('C0183', 0.9968)]"
C0150,"[('C0058', 0.9993), ('C0033', 0.9991), ('C0198', 0.9929)]"
C0151,"[('C0014', 0.9979), ('C0060', 0.9978), ('C0110', 0.9977)]"
C0152,"[('C0164', 0.9997), ('C0189', 0.9978), ('C0076', 0.9961)]"
C0153,"[('C0057', 0.9997), ('C0169', 0.9976), ('C0122', 0.9974)]"
C0154,"[('C0184', 0.9997), ('C0127', 0.9994), ('C0048', 0.9958)]"
C0155,"[('C0122', 0.9998), ('C0046', 0.9991), ('C0101', 0.9981)]"
C0156,"[('C0175', 0.9975), ('C0075', 0.9957), ('C0004', 0.9914)]"
C0157,"[('C0069', 0.9968), ('C0055', 0.9957), ('C0199', 0.9954)]"
C0158,"[('C0178', 0.9967), ('C0079', 0.9962), ('C0152', 0.9951)]"
C0159,"[('C0052', 0.9978), ('C0025', 0.994), ('C0178', 0.9938)]"
C0160,"[('C0086', 0.9996), ('C0038', 0.9996), ('C0189', 0.9969)]"
C0161,"[('C0139', 0.999), ('C0147', 0.9978), ('C0047', 0.9976)]"
C0162,"[('C0084', 0.9998), ('C0068', 0.9974), ('C0102', 0.9933)]"
C0163,"[('C0182', 0.9981), ('C0138', 0.9964), ('C0012', 0.9961)]"
C0164,"[('C0152', 0.9997), ('C0189', 0.999), ('C0076', 0.9978)]"
C0165,"[('C0041', 0.9882), ('C0082', 0.9864), ('C0087', 0.9855)]"
C0166,"[('C0031', 0.9991), ('C0178', 0.9981), ('C0003', 0.9966)]"
C0167,"[('C0036', 0.9993), ('C0085', 0.9992), ('C0131', 0.9991)]"
C0168,"[('C0006', 0.9981), ('C0117', 0.9971), ('C0187', 0.9949)]"
C0169,"[('C0153', 0.9976), ('C0018', 0.9963), ('C0101', 0.9962)]"
C0170,"[('C0182', 0.9989), ('C0037', 0.9987), ('C0100', 0.9963)]"
C0171,"[('C0018', 0.997), ('C0023', 0.9963), ('C0064', 0.9962)]"
C0172,"[('C0076', 0.9956), ('C0189', 0.9949), ('C0164', 0.9934)]"
C0173,"[('C0021', 0.9981), ('C0046', 0.9981), ('C0101', 0.9979)]"
C0174,"[('C0191', 0.9996), ('C0137', 0.999), ('C0011', 0.9978)]"
C0175,"[('C0156', 0.9975), ('C0075', 0.9973), ('C0004', 0.9947)]"
C0176,"[('C0092', 0.9966), ('C0129', 0.9964), ('C0133', 0.9939)]"
C0177,"[('C0125', 0.9989), ('C0135', 0.9984), ('C0142', 0.9981)]"
C0178,"[('C0166', 0.9981), ('C0031', 0.9978), ('C0158', 0.9967)]"
C0179,"[('C0195', 0.9974), ('C0160', 0.9957), ('C0100', 0.9955)]"
C0180,"[('C0001', 0.0), ('C0002', 0.0), ('C0003', 0.0)]"
C0181,"[('C0190', 0.9966), ('C0039', 0.9962), ('C0072', 0.996)]"
C0182,"[('C0170', 0.9989), ('C0163', 0.9981), ('C0012', 0.9968)]"
C0183,"[('C0107', 0.9999), ('C0056', 0.9987), ('C0016', 0.9986)]"
C0184,"[('C0127', 0.9999), ('C0154', 0.9997), ('C0069', 0.996)]"
C0185,"[('C0074', 0.9992), ('C0044', 0.9983), ('C0085', 0.9961)]"
C0186,"[('C0005', 0.9997), ('C0112', 0.9994), ('C0197', 0.9982)]"
C0187,"[('C0064', 0.9976), ('C0011', 0.9963), ('C0126', 0.9959)]"
C0188,"[('C0102', 0.9984), ('C0054', 0.9976), ('C0045', 0.9968)]"
C0189,"[('C0076', 0.9997), ('C0164', 0.999), ('C0038', 0.9986)]"
C0190,"[('C0072', 0.9997), ('C0055', 0.9987), ('C0001', 0.9982)]"
C0191,"[('C0137', 0.9997), ('C0174', 0.9996), ('C0011', 0.9973)]"
C0192,"[('C0199', 0.9995), ('C0146', 0.9991), ('C0035', 0.9976)]"
C0193,"[('C0125', 0.9996), ('C0070', 0.9996), ('C0135', 0.9996)]"
C0194,"[('C0024', 0.9999), ('C0090', 0.9989), ('C0047', 0.9974)]"
C0195,"[('C0179', 0.9974), ('C0124', 0.9972), ('C0012', 0.9964)]"
C0196,"[('C0079', 0.9938), ('C0138', 0.9899), ('C0158', 0.9872)]"
C0197,"[('C0112', 0.9996), ('C0120', 0.9989), ('C0005', 0.9982)]"
C0198,"[('C0009', 0.9942), ('C0083', 0.9934), ('C0150', 0.9929)]"
C0199,"[('C0192', 0.9995), ('C0035', 0.9984), ('C0146', 0.9983)]"
C0200,"[('C0149', 0.9995), ('C0053', 0.9966), ('C0022', 0.9962)]"
